Date	Time	Media	Ec	OD600	Ex485Em535	Ex550Em630
2025_04_25	330_PM	M9	33	0.31451044	383540	5355.5
2025_04_25	330_PM	M9	33	0.3400222614	388601	4213.5
2025_04_25	330_PM	M9	34	0.180372499	472020	92525.5
2025_04_25	330_PM	M9	34	0.170433244	467968	83579.5
2025_04_25	330_PM	M9	35	0.08327297191	124494	337765.5
2025_04_25	330_PM	M9	35	0.07271055	130199	339556.5
2025_04_25	330_PM	M9	36	0.1095277031	3340652	272173.5
2025_04_25	330_PM	M9	36	0.1162102675	3293175	256889.5
2025_04_25	330_PM	M9	37	0.1294046726	2741823	289616.5
2025_04_25	330_PM	M9	37	0.1295158756	2683793	290295.5
2025_04_25	330_PM	M9	62	0.2367178817	327515	176633.5
2025_04_25	330_PM	M9	62	0.2278493863	319978	171834.5
2025_04_25	330_PM	M9	63	0.04657511341	121518	432492.5
2025_04_25	330_PM	M9	63	0.0467901902	119650	424436.5
2025_04_25	330_PM	M9	64	0.1940825358	356392	222249.5
2025_04_25	330_PM	M9	64	0.191574044	344648	211148.5
2025_04_25	330_PM	M9	65	0.2191058154	460595	57552.5
2025_04_25	330_PM	M9	65	0.2116703012	457415	55696.5
2025_04_25	330_PM	M9	96	0.1500359875	915827	78968.5
2025_04_25	330_PM	M9	96	0.1528463846	932277	74652.5
2025_04_25	330_PM	M9	97	0.1609748871	313880	96285.5
2025_04_25	330_PM	M9	97	0.1641074596	307429	99845.5
2025_04_25	330_PM	M9	98	0.1592006139	374788	64173.5
2025_04_25	330_PM	M9	98	0.1501938823	359915	65269.5
2025_04_25	330_PM	M9	99	0.125875233	380122	486240.5
2025_04_25	330_PM	M9	99	0.1289374993	380823	460961.5
2025_04_25	330_PM	M9	100	0.1339984374	925943	53511.5
2025_04_25	330_PM	M9	100	0.1317307538	907801	53613.5
2025_04_25	330_PM	M9	101	0.08382554149	213203	580322.5
2025_04_25	330_PM	M9	101	0.07901085408	214531	568916.5
2025_04_25	330_PM	M9	102	0.03990132912	150774	278669.5
2025_04_25	330_PM	M9	102	0.03642077519	149301	298007.5
2025_04_25	330_PM	M9	103	0.0958818628	127365	561958.5
2025_04_25	330_PM	M9	103	0.08810033423	126373	564755.5
2025_04_25	330_PM	M9	104	0.15735654	304167	252860.5
2025_04_25	330_PM	M9	104	0.1565203408	309355	257666.5
2025_04_25	330_PM	M9	105	0.03142288132	307689	308046.5
2025_04_25	330_PM	M9	105	0.02879066976	302606	283337.5
2025_04_25	330_PM	M9	106	0.1573218804	184643	831538.5
2025_04_25	330_PM	M9	106	0.1471966849	173729	855281.5
2025_04_25	330_PM	M9	107	0.05951287608	196156	552908.5
2025_04_25	330_PM	M9	107	0.05490467259	197248	526837.5
2025_04_25	330_PM	M9	108	0.02808626239	151597	297747.5
2025_04_25	330_PM	M9	108	0.02217981264	145254	294551.5
2025_04_25	330_PM	M9	109	0.02628529157	122195	406204.5
2025_04_25	330_PM	M9	109	0.02267425	123473	391516.5
2025_04_25	330_PM	M9	112	0.1863808033	139916	246903.5
2025_04_25	330_PM	M9	112	0.170833244	136630	258767.5
2025_04_25	330_PM	M9	63	0.308033244	295093	949191.5
2025_04_25	330_PM	M9	63	0.323764207	286439	893484.5
2025_04_25	330_PM	M9	103	0.6167659874	327498	1165880.5
2025_04_25	330_PM	M9	103	0.5767220619	319487	1163210.5
2025_04_25	330_PM	M9	108	0.07120433468	347520	822998.5
2025_04_25	330_PM	M9	108	0.06700373582	349884	797335.5
2025_04_25	330_PM	M9	109	0.05228093835	280507	1010580.5
2025_04_25	330_PM	M9	109	0.05071711498	274756	1007434.5
2025_04_25	330_PM	M9	Blank	-0.0028574	6723	-2052.5
2025_04_25	330_PM	M9	Blank	0.00333204	-2609	237.5
2025_04_25	330_PM	M9	Blank	-0.0012403	-3140	1118.5
2025_04_25	330_PM	M9	Blank	0.00076569	-974	696.5
2025_04_25	530_PM	M9	33	0.436068181	513258.5	5194.75
2025_04_25	530_PM	M9	33	0.4558043391	506946.5	2162.75
2025_04_25	530_PM	M9	34	0.3262260407	861369.5	154197.75
2025_04_25	530_PM	M9	34	0.3081464331	858969.5	149737.75
2025_04_25	530_PM	M9	35	0.2276079188	163647.5	422562.75
2025_04_25	530_PM	M9	35	0.2129459154	167357.5	439355.75
2025_04_25	530_PM	M9	36	0.2576106055	5800673.5	358441.75
2025_04_25	530_PM	M9	36	0.2698176074	5761097.5	362966.75
2025_04_25	530_PM	M9	37	0.2900658815	5538094.5	519185.75
2025_04_25	530_PM	M9	37	0.27118655	5564013.5	516959.75
2025_04_25	530_PM	M9	62	0.39751844	586751.5	308608.75
2025_04_25	530_PM	M9	62	0.3813664362	586477.5	328212.75
2025_04_25	530_PM	M9	63	0.09484866549	132795.5	479348.75
2025_04_25	530_PM	M9	63	0.09684162512	134606.5	481090.75
2025_04_25	530_PM	M9	64	0.3544714054	711093.5	358226.75
2025_04_25	530_PM	M9	64	0.335254556	681298.5	349894.75
2025_04_25	530_PM	M9	65	0.3732035111	779721.5	82942.75
2025_04_25	530_PM	M9	65	0.3706413505	772941.5	80388.75
2025_04_25	530_PM	M9	96	0.3078229044	1683537.5	126448.75
2025_04_25	530_PM	M9	96	0.3256083391	1683795.5	133184.75
2025_04_25	530_PM	M9	97	0.30888284	590901.5	182234.75
2025_04_25	530_PM	M9	97	0.308727685	568428.5	190612.75
2025_04_25	530_PM	M9	98	0.2963217951	674009.5	130529.75
2025_04_25	530_PM	M9	98	0.2935536173	681657.5	125710.75
2025_04_25	530_PM	M9	99	0.3009679771	686380.5	838767.75
2025_04_25	530_PM	M9	99	0.3020332794	679646.5	848710.75
2025_04_25	530_PM	M9	100	0.2768350975	1762483.5	101951.75
2025_04_25	530_PM	M9	100	0.2768275786	1735352.5	105599.75
2025_04_25	530_PM	M9	101	0.2051966756	329582.5	1077544.75
2025_04_25	530_PM	M9	101	0.1959759725	338355.5	1092494.75
2025_04_25	530_PM	M9	102	0.07507030787	170278.5	481880.75
2025_04_25	530_PM	M9	102	0.07595928862	170878.5	481271.75
2025_04_25	530_PM	M9	103	0.1768113977	157068.5	974921.75
2025_04_25	530_PM	M9	103	0.1821868155	152415.5	990079.75
2025_04_25	530_PM	M9	104	0.4033903664	388350.5	251608.75
2025_04_25	530_PM	M9	104	0.4010296125	375078.5	244808.75
2025_04_25	530_PM	M9	105	0.05194451511	384023.5	444133.75
2025_04_25	530_PM	M9	105	0.05174827495	378191.5	438301.75
2025_04_25	530_PM	M9	106	0.3444864202	294546.5	1404618.75
2025_04_25	530_PM	M9	106	0.3328801265	289422.5	1453970.75
2025_04_25	530_PM	M9	107	0.1534962203	335721.5	1193508.75
2025_04_25	530_PM	M9	107	0.1472641717	325586.5	1186160.75
2025_04_25	530_PM	M9	108	0.04093311113	159800.5	419254.75
2025_04_25	530_PM	M9	108	0.03209843796	154337.5	398765.75
2025_04_25	530_PM	M9	109	0.0243706434	121394.5	416610.75
2025_04_25	530_PM	M9	109	0.02159301113	119226.5	418505.75
2025_04_25	530_PM	M9	112	0.2595636314	179402.5	250975.75
2025_04_25	530_PM	M9	112	0.2407879436	192732.5	266922.75
2025_04_25	530_PM	M9	63	1.026136547	444938.5	943505.75
2025_04_25	530_PM	M9	63	0.9854664789	430826.5	887121.75
2025_04_25	530_PM	M9	103	1.334751974	539579.5	1492858.75
2025_04_25	530_PM	M9	103	1.254836515	523714.5	1435714.75
2025_04_25	530_PM	M9	108	0.1323191626	402784.5	1233004.75
2025_04_25	530_PM	M9	108	0.1236427552	397255.5	1165745.75
