Number of Files,MSE,Name
1,-2.489767670712189,La Fleur et al
1,-3.3904924684231257,Urtecho et al
1,-1.4781607395953251,Hossain et al
1,-0.9874394317264904,Yu et al
1,-2.4468590673323964,Lagator et al 36N
1,-2.001166820887129,Lagator et al Pl
1,-2.913396148911492,Lagator et al Pr
1,-0.9599537911000197,Anderson et al
1,-3.88819973509228,De Novo Designs
2,-3.175351374795188,"La Fleur et al, Urtecho et al"
2,-2.57176960055344,"La Fleur et al, Hossain et al"
2,-3.890851595930075,"La Fleur et al, Yu et al"
2,-4.059213377974736,"La Fleur et al, Lagator et al 36N"
2,-3.626713564651122,"La Fleur et al, Lagator et al Pl"
2,-3.648489448143343,"La Fleur et al, Lagator et al Pr"
2,-2.437160725006704,"La Fleur et al, Anderson et al"
2,-3.232031723146771,"La Fleur et al, De Novo Designs"
2,-3.9396665480273763,"Urtecho et al, Hossain et al"
2,-3.5579845262524428,"Urtecho et al, Yu et al"
2,-4.0163765871967385,"Urtecho et al, Lagator et al 36N"
2,-3.98466129285553,"Urtecho et al, Lagator et al Pl"
2,-4.595244883349946,"Urtecho et al, Lagator et al Pr"
2,-3.386868408699438,"Urtecho et al, Anderson et al"
2,-3.6052190058422107,"Urtecho et al, De Novo Designs"
2,-2.4506190865180812,"Hossain et al, Yu et al"
2,-2.8927073942678225,"Hossain et al, Lagator et al 36N"
2,-3.2734573166358842,"Hossain et al, Lagator et al Pl"
2,-2.8073097294913145,"Hossain et al, Lagator et al Pr"
2,-1.6141860824036978,"Hossain et al, Anderson et al"
2,-3.326200504465928,"Hossain et al, De Novo Designs"
2,-3.3374755670931413,"Yu et al, Lagator et al 36N"
2,-2.566034907454888,"Yu et al, Lagator et al Pl"
2,-3.657003458159691,"Yu et al, Lagator et al Pr"
2,-1.7098364633302359,"Yu et al, Anderson et al"
2,-2.9886024224684387,"Yu et al, De Novo Designs"
2,-3.2900562051944786,"Lagator et al 36N, Lagator et al Pl"
2,-3.717661277950735,"Lagator et al 36N, Lagator et al Pr"
2,-2.355772483214739,"Lagator et al 36N, Anderson et al"
2,-3.1435651635129003,"Lagator et al 36N, De Novo Designs"
2,-3.2621163120159626,"Lagator et al Pl, Lagator et al Pr"
2,-2.309440331517886,"Lagator et al Pl, Anderson et al"
2,-3.076815913191482,"Lagator et al Pl, De Novo Designs"
2,-2.4662375807279777,"Lagator et al Pr, Anderson et al"
2,-3.396874917272733,"Lagator et al Pr, De Novo Designs"
2,-3.480508960186912,"Anderson et al, De Novo Designs"
3,-5.557552221552308,"La Fleur et al, Urtecho et al, Hossain et al"
3,-3.377613129584493,"La Fleur et al, Urtecho et al, Yu et al"
3,-4.452574795414565,"La Fleur et al, Urtecho et al, Lagator et al 36N"
3,-4.223521872483707,"La Fleur et al, Urtecho et al, Lagator et al Pl"
3,-4.471702776339989,"La Fleur et al, Urtecho et al, Lagator et al Pr"
3,-3.266289151734899,"La Fleur et al, Urtecho et al, Anderson et al"
